Category,Name,Description,URL,Keywords,Notes
LEET Info,Colleges,Public LEET information page,https://hsbteleet.com/haryana-leet-colleges,colleges,FREE
LEET Info,Seat Intake,Public LEET information page,https://hsbteleet.com/haryana-leet-seat-intake,seat intake,FREE
LEET Info,Admission Documents,Public LEET information page,https://hsbteleet.com/haryana-leet-admission-documents,documents,FREE
LEET Info,OCET Documents,Public LEET information page,https://hsbteleet.com/haryana-leet-ocet-documents,ocet documents,FREE
LEET Info,Key Dates B.Tech,Public LEET information page,https://hsbteleet.com/btech-leet-key-dates,key dates,FREE
LEET Info,LEET Overview,Public LEET information page,https://hsbteleet.com/leet-overview,overview,FREE
LEET Info,LEET Preparation Guide,Public LEET information page,https://hsbteleet.com/leet-preparation-guide,preparation,FREE
LEET Info,Tentative Dates,Public LEET information page,https://hsbteleet.com/leet-tentative-dates,dates,FREE
LEET Info,Haryana LEET 2026/2027 page,Public LEET information page,https://hsbteleet.com/haryana-leet-2026,"leet 2026, leet 2027",FREE
LEET Info,Free B.Tech Sample Hub,Public LEET information page,https://hsbteleet.com/btech-leet-sample-paper,free sample,FREE
LEET Info,Free LEET Sample Hub,Public LEET information page,https://hsbteleet.com/leet-sample-paper,sample paper,FREE
LEET PDF,B.Tech LEET Syllabus PDF,Official entrance syllabus PDF,https://hsbteleet.com/pdf/B.Tech-LEET-Syllabus-2026.pdf,leet syllabus pdf,SEND THIS for LEET syllabus
LEET PDF,B.Tech LE Prospectus,Official prospectus PDF,https://hsbteleet.com/pdf/BTechLE-Prospectus-2026.pdf,prospectus,Also in Premium dashboard
LEET PDF,B.Pharm OCET Syllabus,B.Pharmacy LE syllabus,https://hsbteleet.com/pdf/Syllabus-for-OCET-of-B.Pharmacy-Lateral-Entry-2026.pdf,bpharma syllabus,
LEET PDF,B.Pharm Prospectus,B.Pharmacy prospectus,https://hsbteleet.com/pdf/BPharma-BPharmaLE-Prospectus-2026.pdf,bpharma prospectus,
LEET PDF,Formula Sheet Section A,Premium formula sheet,https://hsbteleet.com/pdf/formula-sheet-LEET2026_Section_A.pdf,formula A,Premium
LEET PDF,Important Topics Section A,Important topics PDF,https://hsbteleet.com/pdf/important-topic-LEET2026_Section_A.pdf,important topics A,Premium
LEET PDF,Cheat Sheet Section A,Cheat sheet PDF,https://hsbteleet.com/pdf/cheat-sheat-LEET2026_Section_A.pdf,cheat sheet A,Premium
LEET PDF,Formula Sheet Section B,Premium formula sheet,https://hsbteleet.com/pdf/formula-sheet-LEET2026_Section_B.pdf,formula B,Premium
LEET PDF,Important Topics Section B,Important topics PDF,https://hsbteleet.com/pdf/important-topic-LEET2026_Section_b.pdf,important topics B,Premium
LEET PDF,Cheat Sheet Section B,Cheat sheet PDF,https://hsbteleet.com/pdf/cheat-sheat-LEET2026_Section_b.pdf,cheat sheet B,Premium
LEET PDF,Formula Sheet Section C,Premium formula sheet,https://hsbteleet.com/pdf/formula-sheet-LEET2026_Section_C.pdf,formula C,Premium
LEET PDF,Important Topics Section C,Important topics PDF,https://hsbteleet.com/pdf/important-topic-LEET2026_Section_c.pdf,important topics C,Premium
LEET PDF,Cheat Sheet Section C,Cheat sheet PDF,https://hsbteleet.com/pdf/cheat-sheat-LEET2026_Section_c.pdf,cheat sheet C,Premium
LEET PDF,Formula Sheet Section D,Premium formula sheet,https://hsbteleet.com/pdf/formula-sheet-LEET2026_Section_D.pdf,formula D,Premium
LEET PDF,Important Topics Section D,Important topics PDF,https://hsbteleet.com/pdf/important-topic-LEET2026_Section_d.pdf,important topics D,Premium
LEET PDF,Cheat Sheet Section D,Cheat sheet PDF,https://hsbteleet.com/pdf/cheat-sheat-LEET2026_Section_d.pdf,cheat sheet D,Premium
Counseling,Counseling Help Buy,₹99 personalized counselling request,https://hsbteleet.com/counseling,"counseling help, 99 counselling",BUY LINK ₹99
Counseling,User Counseling Dashboard,Track admin suggestions,https://hsbteleet.com/user-counseling,dashboard counseling,After payment
B.Pharmacy,B.Pharmacy LEET,B.Pharm lateral entry page,https://hsbteleet.com/B-Pharmacy-leet,bpharmacy leet,
B.Pharmacy,B.Pharm Sample Papers,Sample paper hub,https://hsbteleet.com/b-pharmacy-leet-sample-paper,bpharma sample,
B.Pharmacy,B.Pharm Key Dates,Key dates,https://hsbteleet.com/b-pharmacy-leet-key-dates,bpharma dates,
B.Pharmacy,Bpharma Sample Paper 1,Free/sample set,https://hsbteleet.com/Bpharma-sample-paper-1,bpharma paper 1,
B.Pharmacy,Bpharma Sample Paper 2,Free/sample set,https://hsbteleet.com/Bpharma-sample-paper-2,bpharma paper 2,
B.Pharmacy,Bpharma Sample Paper 3,Free/sample set,https://hsbteleet.com/Bpharma-sample-paper-3,bpharma paper 3,
B.Pharmacy,Bpharma Sample Paper 4,Free/sample set,https://hsbteleet.com/Bpharma-sample-paper-4,bpharma paper 4,
B.Pharmacy,Bpharma Sample Paper 5,Free/sample set,https://hsbteleet.com/Bpharma-sample-paper-5,bpharma paper 5,
B.Pharmacy,Bpharma Sample Paper 6,Free/sample set,https://hsbteleet.com/Bpharma-sample-paper-6,bpharma paper 6,
Diploma Syllabus PDF,Computer Engineering Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/2%20Final%2001-08-2024%20-%20Diploma%20in%20Computer%20Engineering.pdf,"cse, computer syllabus",Direct PDF download
Diploma Syllabus PDF,AI & ML Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/18-Final-01-08-2024-Diploma-in-Artificial-Intelligence-and-Machine-Learning.pdf,ai ml syllabus,Direct PDF download
Diploma Syllabus PDF,Civil Engineering Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/17-Final-01-08-2024-Diploma-in-Civil-Engineering.pdf,civil syllabus,Direct PDF download
Diploma Syllabus PDF,Mechanical Engineering Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/14-Final-01-08-2024-Diploma-in-Mechanical-Engineering.pdf,"mechanical syllabus, mech syllabus",Direct PDF download
Diploma Syllabus PDF,Electrical Engineering Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/21-Final-01-08-2024-Diploma-in-Electrical-Engineering.pdf,electrical syllabus,Direct PDF download
Diploma Syllabus PDF,ECE Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/3-Final-01-08-2024-Diploma-in-Electronics-and-Communication-Engineering.pdf,ece syllabus,Direct PDF download
Diploma Syllabus PDF,Automobile Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/11-Final-01-08-2024-Diploma-in-Automobile-Engineering.pdf,automobile syllabus,Direct PDF download
Diploma Syllabus PDF,Automation & Robotics Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/1-Final-01-08-2024---Diploma-in-Automation-%26-Robotics.pdf,automation syllabus,Direct PDF download
Diploma Syllabus PDF,Chemical Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/16-Final-01-08-2024-Diploma-in-Chemical-Engineering.pdf,chemical syllabus,Direct PDF download
Diploma Syllabus PDF,Agriculture Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/10-Final-01-08-2024-Diploma-in-Agriculture-Engineering.pdf,agriculture syllabus,Direct PDF download
Diploma Syllabus PDF,Ceramic Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/12-Final-01-08-2024-Diploma-in-Ceramic-Engineering.pdf,ceramic syllabus,Direct PDF download
Diploma Syllabus PDF,Architecture Assistantship Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/15-Final-01-08-2024-Diploma-in-Architecture-Assistantship.pdf,architecture syllabus,Direct PDF download
Diploma Syllabus PDF,Business Management Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/19-Final-01-08-2024-Diploma-in-Business-Management.pdf,dbm syllabus,Direct PDF download
Diploma Syllabus PDF,Food Technology Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/23-Final-01-08-2024-Diploma-in-Food-Technology.pdf,food syllabus,Direct PDF download
Diploma Syllabus PDF,Hotel Management Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/24-Final-01-08-2024-Diploma-in-Hotel-Management.pdf,hotel syllabus,Direct PDF download
Diploma Syllabus PDF,Instrumentation & Control Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/25-Final-01-08-2024-Diploma-in-Instrumentation-and-Control-Engineering.pdf,instrumentation syllabus,Direct PDF download
Diploma Syllabus PDF,Library Science Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/26-Final-01-08-2024-Diploma-in-Library-and-Information-Science.pdf,library syllabus,Direct PDF download
Diploma Syllabus PDF,Medical Electronics Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/27-Final-01-08-2024-Diploma-in-Medical-Electronics.pdf,medical electronics syllabus,Direct PDF download
Diploma Syllabus PDF,Medical Lab Technology Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/28-Final-01-08-2024-Diploma-in-Medical-Laboratory-and-Technology.pdf,mlt syllabus,Direct PDF download
Diploma Syllabus PDF,Office Management Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/29-Final-01-08-2024-Diploma-in-Office-Management-%26-Computer-Application.pdf,office management syllabus,Direct PDF download
Diploma Syllabus PDF,Plastic Technology Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/30-Final-01-08-2024-Diploma-in-Plastic-Technology.pdf,plastic syllabus,Direct PDF download
Diploma Syllabus PDF,Fashion Design Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/4-Final-01-08-2024-Diploma-in-Fashion-Design-(2).pdf,fashion design syllabus,Direct PDF download
Diploma Syllabus PDF,Fashion Technology Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/5-Final-01-08-2024-Diploma-in-Fashion-Technology.pdf,fashion technology syllabus,Direct PDF download
Diploma Syllabus PDF,Textile Design Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/6-Final-01-08-2024-Diploma-in-Textile-Design.pdf,textile design syllabus,Direct PDF download
Diploma Syllabus PDF,Textile Processing Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/7-Final-01-08-2024-Diploma-in-Textile-Processing.pdf,textile processing syllabus,Direct PDF download
Diploma Syllabus PDF,Textile Technology Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/8-Final-01-08-2024-Diploma-in-Textile-Technology.pdf,textile technology syllabus,Direct PDF download
Diploma Syllabus PDF,Tool & Die (Adv Diploma) Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/9-Final-01-08-2024-Advanced-Diploma-in-Tool-and-Die-Making.pdf,tool die syllabus,Direct PDF download
Diploma Syllabus PDF,Finance Accounts Auditing Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/22-Final-01-08-2024-Diploma-in-Finance%2C-Accounts-and-Auditing.pdf,faa syllabus,Direct PDF download
Diploma Syllabus PDF,D Pharmacy Syllabus PDF,Official HSBTE diploma syllabus PDF,https://hsbteleet.com/syllabus/Study-Scheme-for-Diploma-in-Pharmacy-(ER-2020).pdf,"d pharmacy syllabus, dpharm",Direct PDF download
PYQ Branch Hub,Computer Engineering PYQ Hub,Branch landing for previous year papers,https://hsbteleet.com/computer-pyq,computer engineering pyq,FREE
PYQ Semester,Computer Engineering Sem 1 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/computer-1-semester,"computer engineering 1, computer engineering semester 1, computer engineering 1st/1nd/1rd/1th",FREE — send this when user asks branch+semester
PYQ Semester,Computer Engineering Sem 2 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/computer-pyq-2-semester,"computer engineering 2, computer engineering semester 2, computer engineering 2st/2nd/2rd/2th",FREE — send this when user asks branch+semester
PYQ Semester,Computer Engineering Sem 3 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/computer-pyq-3-semester,"computer engineering 3, computer engineering semester 3, computer engineering 3st/3nd/3rd/3th",FREE — send this when user asks branch+semester
PYQ Semester,Computer Engineering Sem 4 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/computer-pyq-4-semester,"computer engineering 4, computer engineering semester 4, computer engineering 4st/4nd/4rd/4th",FREE — send this when user asks branch+semester
PYQ Semester,Computer Engineering Sem 5 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/computer-pyq-5-semester,"computer engineering 5, computer engineering semester 5, computer engineering 5st/5nd/5rd/5th",FREE — send this when user asks branch+semester
PYQ Semester,Computer Engineering Sem 6 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/computer-pyq-6-semester,"computer engineering 6, computer engineering semester 6, computer engineering 6st/6nd/6rd/6th",FREE — send this when user asks branch+semester
PYQ Branch Hub,Mechanical Engineering PYQ Hub,Branch landing for previous year papers,https://hsbteleet.com/mech,mechanical engineering pyq,FREE
PYQ Semester,Mechanical Engineering Sem 1 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/mech-1,"mechanical engineering 1, mechanical engineering semester 1, mechanical engineering 1st/1nd/1rd/1th",FREE — send this when user asks branch+semester
PYQ Semester,Mechanical Engineering Sem 2 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/mech-2,"mechanical engineering 2, mechanical engineering semester 2, mechanical engineering 2st/2nd/2rd/2th",FREE — send this when user asks branch+semester
PYQ Semester,Mechanical Engineering Sem 3 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/mech-3,"mechanical engineering 3, mechanical engineering semester 3, mechanical engineering 3st/3nd/3rd/3th",FREE — send this when user asks branch+semester
PYQ Semester,Mechanical Engineering Sem 4 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/mech-4,"mechanical engineering 4, mechanical engineering semester 4, mechanical engineering 4st/4nd/4rd/4th",FREE — send this when user asks branch+semester
PYQ Semester,Mechanical Engineering Sem 5 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/mech-5,"mechanical engineering 5, mechanical engineering semester 5, mechanical engineering 5st/5nd/5rd/5th",FREE — send this when user asks branch+semester
PYQ Semester,Mechanical Engineering Sem 6 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/mech-6,"mechanical engineering 6, mechanical engineering semester 6, mechanical engineering 6st/6nd/6rd/6th",FREE — send this when user asks branch+semester
PYQ Branch Hub,Civil Engineering PYQ Hub,Branch landing for previous year papers,https://hsbteleet.com/civil,civil engineering pyq,FREE
PYQ Semester,Civil Engineering Sem 1 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/civil-1,"civil engineering 1, civil engineering semester 1, civil engineering 1st/1nd/1rd/1th",FREE — send this when user asks branch+semester
PYQ Semester,Civil Engineering Sem 2 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/civil-2,"civil engineering 2, civil engineering semester 2, civil engineering 2st/2nd/2rd/2th",FREE — send this when user asks branch+semester
PYQ Semester,Civil Engineering Sem 3 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/civil-3,"civil engineering 3, civil engineering semester 3, civil engineering 3st/3nd/3rd/3th",FREE — send this when user asks branch+semester
PYQ Semester,Civil Engineering Sem 4 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/civil-4,"civil engineering 4, civil engineering semester 4, civil engineering 4st/4nd/4rd/4th",FREE — send this when user asks branch+semester
PYQ Semester,Civil Engineering Sem 5 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/civil-5,"civil engineering 5, civil engineering semester 5, civil engineering 5st/5nd/5rd/5th",FREE — send this when user asks branch+semester
PYQ Semester,Civil Engineering Sem 6 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/civil-6,"civil engineering 6, civil engineering semester 6, civil engineering 6st/6nd/6rd/6th",FREE — send this when user asks branch+semester
PYQ Branch Hub,Electrical Engineering PYQ Hub,Branch landing for previous year papers,https://hsbteleet.com/Electrical-Engineering,electrical engineering pyq,FREE
PYQ Semester,Electrical Engineering Sem 1 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/Electrical-Engineering-1,"electrical engineering 1, electrical engineering semester 1, electrical engineering 1st/1nd/1rd/1th",FREE — send this when user asks branch+semester
PYQ Semester,Electrical Engineering Sem 2 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/Electrical-Engineering-2,"electrical engineering 2, electrical engineering semester 2, electrical engineering 2st/2nd/2rd/2th",FREE — send this when user asks branch+semester
PYQ Semester,Electrical Engineering Sem 3 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/Electrical-Engineering-3,"electrical engineering 3, electrical engineering semester 3, electrical engineering 3st/3nd/3rd/3th",FREE — send this when user asks branch+semester
PYQ Semester,Electrical Engineering Sem 4 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/Electrical-Engineering-4,"electrical engineering 4, electrical engineering semester 4, electrical engineering 4st/4nd/4rd/4th",FREE — send this when user asks branch+semester
PYQ Semester,Electrical Engineering Sem 5 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/Electrical-Engineering-5,"electrical engineering 5, electrical engineering semester 5, electrical engineering 5st/5nd/5rd/5th",FREE — send this when user asks branch+semester
PYQ Semester,Electrical Engineering Sem 6 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/Electrical-Engineering-6,"electrical engineering 6, electrical engineering semester 6, electrical engineering 6st/6nd/6rd/6th",FREE — send this when user asks branch+semester
PYQ Branch Hub,ECE PYQ Hub,Branch landing for previous year papers,https://hsbteleet.com/ece,ece pyq,FREE
PYQ Semester,ECE Sem 1 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ece-1,"ece 1, ece semester 1, ece 1st/1nd/1rd/1th",FREE — send this when user asks branch+semester
PYQ Semester,ECE Sem 2 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ece-2,"ece 2, ece semester 2, ece 2st/2nd/2rd/2th",FREE — send this when user asks branch+semester
PYQ Semester,ECE Sem 3 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ece-3,"ece 3, ece semester 3, ece 3st/3nd/3rd/3th",FREE — send this when user asks branch+semester
PYQ Semester,ECE Sem 4 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ece-4,"ece 4, ece semester 4, ece 4st/4nd/4rd/4th",FREE — send this when user asks branch+semester
PYQ Semester,ECE Sem 5 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ece-5,"ece 5, ece semester 5, ece 5st/5nd/5rd/5th",FREE — send this when user asks branch+semester
PYQ Semester,ECE Sem 6 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ece-6,"ece 6, ece semester 6, ece 6st/6nd/6rd/6th",FREE — send this when user asks branch+semester
PYQ Branch Hub,AI & ML PYQ Hub,Branch landing for previous year papers,https://hsbteleet.com/ai-ml,ai & ml pyq,FREE
PYQ Semester,AI & ML Sem 1 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ai-ml-1,"ai & ml 1, ai & ml semester 1, ai & ml 1st/1nd/1rd/1th",FREE — send this when user asks branch+semester
PYQ Semester,AI & ML Sem 2 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ai-ml-2,"ai & ml 2, ai & ml semester 2, ai & ml 2st/2nd/2rd/2th",FREE — send this when user asks branch+semester
PYQ Semester,AI & ML Sem 3 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ai-ml-3,"ai & ml 3, ai & ml semester 3, ai & ml 3st/3nd/3rd/3th",FREE — send this when user asks branch+semester
PYQ Semester,AI & ML Sem 4 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ai-ml-4,"ai & ml 4, ai & ml semester 4, ai & ml 4st/4nd/4rd/4th",FREE — send this when user asks branch+semester
PYQ Semester,AI & ML Sem 5 PYQ,Semester-wise previous year papers page,https://hsbteleet.com/ai-ml-5,"ai & ml 5, ai & ml semester 5, ai & ml 5st/5nd/5rd/5th",FREE — send this when user asks branch+semester
